"Standard,""Standard"""
"Minimal,""Minimal"""
"Optional,""Optional"""
"Required,""Required"""
"Hidden,""Hidden"""
"The one page checkout is disabled.,""The one page checkout is disabled."""
"One Page Checkout Section,""One Page Checkout Section"""
"One Page Checkout,""One Page Checkout"""
"Default Shipping Method,""Default Shipping Method"""
"Default Payment Method,""Default Payment Method"""
"Default Country,""Default Country"""
"GeoIP,""GeoIP"""
"Enable Country Detection,""Enable Country Detection"""
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it,""<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it"""
"Enable City Detection,""Enable City Detection"""
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it,""<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it"""
"Show Shipping Address Form,""Show Shipping Address Form"""
"Show Subscribe to Newsletter Checkbox,""Show Subscribe to Newsletter Checkbox"""
"Address Form Fields,""Address Form Fields"""
"Before changing some of the fields, be sure that your payment/shipping provider does not require them,""Before changing some of the fields, be sure that your payment/shipping provider does not require them"""
"Output Type,""Output Type"""
"Create account for later use,""Create account for later use"""
"Checkout Review,""Checkout Review"""
"Already registered? Login into your account,""Already registered? Login into your account"""
"Show Comment Field,""Show Comment Field"""
