"%s already exist","%s já existe"
"%s already exists","%s já existem"
"-- Please Select --","-- Por favor, selecione --"
"Add Block Names to Hints","Adicionar nomes de blocos para dicas"
"Add Secret Key to URLs","Adicionar chave secreta a URLs"
"Add Store Code to Urls","Adicionar código da loja nos URLs"
"Admin","Admin"
"Admin Base URL","URL base da administração"
"Admin User Emails","E-mails dos usuários da administração"
"Advanced","Avançado"
"Allow countries","Permitir países"
"Allowed IPs (comma separated)","IPs permitidos (separados por vírgula)"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Backup options","Opções do backup"
"Base JavaScript URL","URL base do JavaScript"
"Base Link URL","URL base do link"
"Base Media URL","URL base de media"
"Base Skin URL","URL base de skin"
"Base URL","URL base"
"Before modifying the store view code please make sure that it is not used in index.php","Antes de modificar o código da visão da loja, por favor, tenha certeza que não é usado em index.php"
"Before modifying the website code please make sure that it is not used in index.php","Antes de modificar o código do website, por favor, tenha certeza que não é usado em index.php"
"Block with name ""%s"" already exists","Já existe bloqueio com o nome ""%s"""
"Blocks HTML output","Bloquear saída HTML"
"Can't retrieve request object","Não é possível obter objeto solicitado"
"Can't retrieve entity config: %s","Não foi possível obter a configuração da entidade: %s"
"Cancel","Cancelar"
"Cannot Delete Email Template","Não foi possível excluir modelo de e-mail"
"Cannot complete this operation from non-admin area.","Esta operação não pode ser completada de uma área diferente da administração."
"Category object is required for determining product request path","Categoria de objeto é obrigatório para determinar caminho de solicitação do produto"
"Code","Código"
"Collections Data","Dados de coleta"
"Configuration","Configuração"
"Controller file was loaded but class does not exist","Arquivo de controle foi carregado mas a classe não existe"
"Cookie Domain","Domínio do cookie"
"Cookie Lifetime","Tempo de vida do cookie"
"Cookie Path","Caminho do cookie"
"Copyright","Direitos autorais"
"Countries options","Opções dos países"
"Create Store","Criar loja"
"Create Store View","Criar visão da loja"
"Create Website","Criar website"
"Current package name","Nome do pacote atual"
"Custom Design","Design personalizado"
"Custom admin URL","URL da administração personalizada"
"Custom email 1","E-mail Personalizado 1"
"Custom email 2","E-mail Personalizado 2"
"Customer support","Suporte ao cliente"
"Date From","Data de"
"Date To","Data para"
"Date/time format ""%s"" is not supported.","Formato de data/hora ""%s"" não é suportado."
"Debug","Debug"
"Default","Padrão"
"Default Description","Descrição padrão"
"Default Keywords","Palavras-chave padrões"
"Default Pages","Páginas padrões"
"Default Robots","Robôs padrões"
"Default Store","Loja padrão"
"Default Store View","Visão padrão da loja"
"Default Title","Título padrão"
"Default country","País padrão"
"Default no-route url","Padrão de URL sem rota"
"Default web url","URL web padrão"
"Delete","Excluir"
"Delete Store","Excluir loja"
"Delete Store View","Excluir visão da loja"
"Delete Website","Excluir website"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Excluir um %1$s não excluirá as informações associadas com o %1$s (ex: categorias, produtos, etc.), mas o %1$s não poderá de ser restaurardo. É recomendado você criar um backup do banco de dados antes de excluir o %1$s."
"Design","Design"
"Design Change","Alteração de design"
"Developer","Desenvolvedor"
"Developer Client Restrictions","Restrições do cliente do desenvolvedor"
"Disable email communications","Desabilitar comunicações por e-mail"
